classification	db_link	observation_name	observation_sum	1006_Rp_Control	1007_Rp_LE	1025_Rp_Control	1028_Rp_Control	1028bis_Rp_Control	1038_Rp_Control	1046_Rp_LE	1047_Rp_Control	1059_Rp_Control	1060_Rp_Control	1065_Rp_LE	1066_Rp_Control	1073_Rp_LE	1086_Rp_LE	1086bis_Rp_LE	1099_Rp_Control	1099bis_Rp_Control	1102_Rp_Control	1122_Rp_Control	1136_Rp_Control	1136bis_Rp_Control	1140_Rp_LE	1150_Rp_Control	1150bis_Rp_Control	581_Rm_Control	581bis_Rm_Control	592_Rm_LE	602_Rm_Control	612_Rm_Control	624_Rm_LE	624bis_Rm_LE	624ter_Rm_LE	629_Rm_Control	641_Rm_LE	651_Rm_Control	654_Rm_Control	665_Rm_LE	677_Rm_Control	680_Rm_LE	685_Rm_Control	689_Rm_LE	701_Rm_Control	732_Rm_LE	732bis_Rm_LE	750_Rm_Control	777_Rm_Control	798_Rm_LE	815_Rm_LE	817_Rm_Control	827_Rm_LE	835_Rm_Control	855_Rm_Control	862_Rm_LE	896_Rm_Control	920_Rm_LE	927_Rm_Control	935_Rm_Control	944_Rp_Control	950_Rp_LE	950bis_Rp_LE	952_Rp_LE	959_Rp_Control	964_Rp_Control	966_Rp_LE	972_Rp_Control	978_Rp_LE	978bis_Rp_LE	989_Rp_Control	992_Rp_LE
Lyases;Carbon-carbon lyases;Aldehyde-lyases;FBA, fbaA, fructose-bisphosphate aldolase, class II [EC:4.1.2.13]	https://www.genome.jp/dbget-bin/www_bget?K01624	K01624	1516106.2900000003	12378.94	14901.130000000001	12965.76	15183.24	11984.03	14795.019999999999	21648.32	18312.470000000005	21170.82	25020.1	23934.390000000003	21311.050000000003	16288.11	25893.5	13683.77	21644.54	16190.22	26035.74	18828.27	16095.320000000002	17716.39	22803.239999999998	24249.969999999998	14827.76	23697.96	26913.86	22991.23	32438.48	22117.33	22448.26	29188.989999999998	16312.28	27958.8	16621.34	33711.630000000005	24991.559999999998	20449.49	27648.14	21530.01	24538.359999999997	28459.089999999997	31262.82	19532.979999999996	6266.81	19984.340000000004	24253.18	24702.449999999997	27562.98	29386.140000000003	28958.840000000004	31864.829999999998	24284.36	24506.22	28405.619999999995	16157.550000000001	29016.09	21939.07	20077.360000000004	21885.66	13843.9	15586.349999999999	27319.03	25385.079999999998	21860.14	24897.520000000004	25140.59	8403.77	32839.78	20903.92
Lyases;Carbon-carbon lyases;Oxo-acid-lyases;eda, 2-dehydro-3-deoxyphosphogluconate aldolase / (4S)-4-hydroxy-2-oxoglutarate aldolase [EC:4.1.2.14 4.1.3.42]	https://www.genome.jp/dbget-bin/www_bget?K01625	K01625	853963.9299999997	5371.03	10457.3	6238.98	4231.65	3544.7	8985.460000000001	14217.15	8865.03	9363.41	15010.3	10821.23	8159.4	9246.83	15862.24	8958.470000000001	16444.129999999997	11232.06	13002.08	12166.11	5244.4400000000005	5646.78	12778.83	8564.7	5596.93	9328.87	12034.16	12520.65	19471.58	12858.25	13566.92	16058.08	8559.45	17331.8	10838.42	20736.05	15076.47	10152.67	19146.11	15236.67	16017.27	14925.0	19141.15	8396.48	4467.89	14008.68	8828.09	10455.119999999999	18028.98	20569.89	19618.43	21700.58	16281.13	15242.36	18017.44	9346.97	16574.47	14457.65	12040.05	4343.87	6144.82	8685.36	14293.94	13174.44	13671.359999999999	17694.280000000002	17357.27	5398.46	19314.44	12842.67
Transferases;Transferring alkyl or aryl groups, other than methyl groups;Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date);E2.5.1.54, aroF, aroG, aroH, 3-deoxy-7-phosphoheptulonate synthase [EC:2.5.1.54]	https://www.genome.jp/dbget-bin/www_bget?K01626	K01626	207494.49000000005	1604.09	1462.8899999999999	3176.54	3203.87	3735.9399999999996	794.23	3174.21	3696.43	2832.3199999999997	1731.06	1436.69	2912.7	2410.34	3194.8199999999997	1231.9	1680.8899999999999	2182.52	5018.49	1396.42	5409.9800000000005	7336.93	2621.3199999999997	12395.1	7917.79	2371.77	6576.99	2428.69	4736.49	2621.34	1856.16	2213.3199999999997	1989.9399999999998	4328.4	1059.0	3568.4	2384.57	1332.01	2027.09	1812.01	3061.8100000000004	4620.16	3351.36	1651.69	625.91	1681.29	2388.6800000000003	3001.2799999999997	2051.69	2363.91	3200.14	3207.99	1696.39	1759.92	4244.4800000000005	1395.2399999999998	3464.57	1127.2	2375.74	4977.27	2218.54	1229.43	3814.98	2354.98	1790.4299999999998	3758.43	2133.96	1013.89	10422.48	2647.0
Transferases;Transferring alkyl or aryl groups, other than methyl groups;Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date);kdsA, 2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) [EC:2.5.1.55]	https://www.genome.jp/dbget-bin/www_bget?K01627	K01627	720324.41	4280.91	8811.58	6355.67	2769.5	2290.17	8623.75	12508.17	7814.08	7954.25	12453.16	8558.16	6242.25	7179.17	14335.75	7105.0	14534.41	9325.5	11435.16	12011.25	2023.3400000000001	2148.75	10009.25	2534.42	1707.08	8097.25	7869.75	11143.08	16863.0	12256.17	12744.75	13531.75	7270.42	14156.0	10504.92	14847.83	14305.25	7219.17	16061.58	12332.59	13657.09	13443.5	17717.08	7766.75	3747.42	11459.41	8206.75	9492.84	13396.5	18758.0	16297.5	19217.5	14917.58	13720.75	16168.34	7691.42	14664.58	14237.92	10701.0	3067.0	3841.92	8176.33	13279.0	12380.75	11173.42	15711.33	15317.08	3665.16	15262.5	10973.75
Lyases;Carbon-carbon lyases;Aldehyde-lyases;fucA, L-fuculose-phosphate aldolase [EC:4.1.2.17]	https://www.genome.jp/dbget-bin/www_bget?K01628	K01628	215346.12999999995	1468.33	2079.83	2445.5	2859.17	1983.0	1228.33	3558.17	1074.83	1877.6599999999999	1972.0	2526.33	1796.0	3301.0	4027.66	2268.0	3027.83	2152.66	2435.33	1732.1599999999999	2545.34	2664.83	4312.66	4738.0	3026.33	3466.17	4470.33	4097.83	4695.33	3000.0	3538.0	5409.66	2381.0	4952.5	2513.0	5646.0	3019.67	3172.17	2812.83	3730.17	3190.17	7884.0	4352.0	2587.33	920.67	3198.83	3434.34	2635.84	5348.33	3443.67	4125.0	4467.83	2084.83	3679.66	3486.34	2657.0	3763.17	1861.0	1709.5	2428.67	2218.5	2436.83	2999.84	2096.84	2612.33	2821.83	3508.5	1927.83	4848.84	4611.0
Lyases;Carbon-carbon lyases;Aldehyde-lyases;rhaD, rhamnulose-1-phosphate aldolase [EC:4.1.2.19]	https://www.genome.jp/dbget-bin/www_bget?K01629	K01629	612017.3799999999	3801.93	7987.98	4818.87	1499.2	1282.52	7862.9	10490.87	7124.85	7071.08	12068.73	7520.53	5524.45	5912.92	12285.08	6201.4	12846.73	8381.029999999999	9924.83	10402.68	1247.2199999999998	1372.85	8615.83	2788.85	1754.1299999999999	5278.6	6063.08	8165.53	14830.83	9584.42	10074.08	10233.08	5726.02	12186.15	8223.25	13704.15	12210.4	5511.92	14936.68	10822.17	12260.22	8533.08	15006.78	5673.78	3418.82	10020.880000000001	5750.67	7092.77	11927.28	16236.32	14703.22	17680.58	13724.48	11296.43	14307.72	6125.57	12714.15	12425.7	9731.07	1467.6	2899.87	6069.6	11865.72	11027.72	10262.6	14117.35	13828.630000000001	3269.98	13374.97	8866.0
Lyases;Carbon-carbon lyases;Aldehyde-lyases;garL, 2-dehydro-3-deoxyglucarate aldolase [EC:4.1.2.20]	https://www.genome.jp/dbget-bin/www_bget?K01630	K01630	48300.97999999999	142.32999999999998	494.33	156.67000000000002	437.0	367.67	202.0	605.6700000000001	239.0	190.32999999999998	366.33	783.33	328.0	929.67	751.33	735.0	1332.33	591.3299999999999	355.33	386.33000000000004	177.67000000000002	243.0	896.33	447.0	331.33000000000004	837.0	826.33	1223.33	581.3299999999999	576.6700000000001	1133.33	1668.33	730.67	1032.0	1237.0	1723.0	548.0	573.6700000000001	744.33	813.67	487.67	1847.33	680.3299999999999	588.3299999999999	211.67000000000002	706.3299999999999	620.6700000000001	499.67	1170.33	617.6700000000001	857.67	997.33	359.33000000000004	1798.33	997.67	731.67	733.0	439.0	339.67	194.0	523.6700000000001	707.0	939.67	510.67	735.0	521.0	811.33	394.33	1198.67	1344.0
Isomerases;Racemases and epimerases;Acting on other compounds;folB, 7,8-dihydroneopterin aldolase/epimerase/oxygenase [EC:4.1.2.25 5.1.99.8 1.13.11.81]	https://www.genome.jp/dbget-bin/www_bget?K01633	K01633	718494.16	4278.16	8875.83	6342.17	2785.0	2263.92	8595.0	12519.42	7844.33	7982.0	12470.91	8492.16	6234.25	7164.92	14311.75	7074.0	14388.91	9267.5	11437.91	11936.0	2041.5900000000001	2177.5	9971.25	2662.92	1800.58	7876.25	7663.0	11116.33	16805.75	12263.67	12706.75	13470.0	7230.42	14204.25	10441.17	14779.33	14255.25	7173.42	16051.08	12273.84	13651.09	13372.25	17658.08	7701.75	3702.67	11413.41	8163.5	9529.84	13348.75	18704.75	16251.75	19209.0	15098.33	13691.0	16199.09	7655.42	14666.83	14193.17	10624.25	3136.75	3803.17	8114.33	13104.25	12352.0	11184.42	15678.58	15136.33	3629.91	15361.25	10929.75
Lyases;Carbon-carbon lyases;Aldehyde-lyases;lacD, tagatose 1,6-diphosphate aldolase [EC:4.1.2.40]	https://www.genome.jp/dbget-bin/www_bget?K01635	K01635	3016.7999999999997	5.2	24.8	9.4	22.4	14.2	2.8	50.4	10.2	64.0	17.8	4.4	9.4	31.0	44.0	9.8	8.8	11.4	10.0	80.2	28.6	35.2	32.0	77.2	33.6	21.2	75.0	14.4	324.0	146.0	16.0	32.0	18.2	55.8	32.0	70.8	42.8	13.0	11.2	26.0	31.6	29.0	54.4	24.4	13.8	33.6	66.0	43.2	29.4	11.8	29.6	88.0	19.8	5.2	65.6	42.8	51.8	17.4	5.8	116.2	11.4	37.2	479.6	21.6	6.2	24.2	72.6	14.8	31.6	3.0
Lyases;Carbon-carbon lyases;Oxo-acid-lyases;E4.1.3.1, aceA, isocitrate lyase [EC:4.1.3.1]	https://www.genome.jp/dbget-bin/www_bget?K01637	K01637	2370.9800000000005	34.33	183.32999999999998	3.67	63.0	42.67	0.0	2.67	11.0	32.33	37.33	22.33	82.0	17.67	5.33	1.0	80.33	71.33	47.33	16.33	10.67	12.0	5.33	24.0	13.33	0.0	0.33	2.33	28.33	28.67	25.33	39.33	15.67	53.0	3.0	53.0	3.0	4.67	43.33	22.67	5.67	29.33	8.33	5.33	5.67	11.33	4.67	35.67	50.33	33.67	6.67	1.33	134.33	11.33	50.67	7.67	34.0	34.0	26.67	102.0	14.67	3.0	77.67	42.67	36.0	66.0	85.33	29.33	247.67	28.0
Transferases;Acyltransferases;Acyl groups converted into alkyl groups on transfer;aceB, glcB, malate synthase [EC:2.3.3.9]	https://www.genome.jp/dbget-bin/www_bget?K01638	K01638	4249.960000000001	68.66	295.65999999999997	7.34	120.0	81.34	0.0	5.34	22.0	64.66	74.66	44.66	164.0	35.34	10.66	2.0	154.66	130.66	94.66	26.66	21.34	24.0	10.66	48.0	26.66	0.0	0.66	4.66	56.66	29.34	34.66	52.66	19.34	106.0	6.0	106.0	6.0	9.34	59.66	45.34	11.34	58.66	16.66	10.66	11.34	22.66	9.34	41.34	60.66	67.34	13.34	2.66	134.66	22.66	94.34	15.34	68.0	63.0	53.34	204.0	29.34	6.0	155.34	66.34	67.0	132.0	154.66	58.66	495.34	34.0
Lyases;Carbon-carbon lyases;Oxo-acid-lyases;E4.1.3.3, nanA, NPL, N-acetylneuraminate lyase [EC:4.1.3.3]	https://www.genome.jp/dbget-bin/www_bget?K01639	K01639	1034639.5299999998	8491.08	10741.83	8296.7	8985.17	6530.0	12153.23	14294.42	13885.28	16301.16	20514.55	19471.33	16194.9	10932.45	18742.510000000002	9858.55	16301.08	11461.91	18453.83	14531.66	7933.04	7828.53	15990.16	8207.35	5011.33	15474.67	14441.28	14469.58	20681.480000000003	14838.75	15449.75	19516.660000000003	10476.75	17190.25	11153.5	23503.0	18802.67	13415.32	20978.280000000002	14786.17	17859.42	16492.25	22955.0	13422.58	4351.42	13617.33	16703.09	17304.489999999998	19686.08	21082.67	20004.75	22971.58	19141.730000000003	18062.360000000004	19975.839999999997	10289.75	20091.62	17014.25	14999.4	12612.37	8196.75	9862.58	19439.589999999997	19782.389999999996	16680.03	17974.58	17983.15	4899.48	19882.089999999997	15010.75
Lyases;Carbon-carbon lyases;Oxo-acid-lyases;E4.1.3.4, HMGCL, hmgL, hydroxymethylglutaryl-CoA lyase [EC:4.1.3.4]	https://www.genome.jp/dbget-bin/www_bget?K01640	K01640	17833.0	137.0	327.0	83.0	155.0	88.0	96.0	281.0	89.0	127.0	218.0	266.0	181.0	255.0	268.0	169.0	328.0	308.0	191.0	131.0	60.0	65.0	561.0	147.0	78.0	316.0	287.0	358.0	345.0	247.0	291.0	582.0	162.0	366.0	257.0	548.0	228.0	304.0	235.0	335.0	353.0	657.0	447.0	283.0	50.0	305.0	306.0	289.0	667.0	459.0	330.0	441.0	301.0	309.0	294.0	188.0	277.0	171.0	123.0	81.0	169.0	176.0	213.0	172.0	252.0	201.0	270.0	122.0	170.0	287.0
Transferases;Acyltransferases;Acyl groups converted into alkyl groups on transfer;E2.3.3.10, hydroxymethylglutaryl-CoA synthase [EC:2.3.3.10]	https://www.genome.jp/dbget-bin/www_bget?K01641	K01641	41703.65	1163.6	123.4	535.2	839.2	348.85	88.4	230.2	351.1	628.0	372.4	51.2	239.95	177.0	327.0	93.4	178.9	308.7	601.25	202.6	675.8	1107.6	191.0	3938.35	1857.3	257.6	801.0	430.2	3083.5	912.0	352.0	365.0	275.6	1308.9	361.0	266.9	558.4	100.0	215.6	224.0	919.8	392.0	742.2	672.2	43.4	241.8	702.0	394.6	260.2	382.65	623.8	1445.0	412.9	256.6	431.05	357.4	1471.15	185.2	142.65	1335.6	90.2	287.6	1885.8	742.05	191.6	659.85	501.8	95.4	1594.05	101.0
Transferases;Transferring sulfur-containing groups;CoA-transferases;citF, citrate lyase subunit alpha / citrate CoA-transferase [EC:2.8.3.10]	https://www.genome.jp/dbget-bin/www_bget?K01643	K01643	51473.25	1118.0	373.0	293.0	860.0	388.25	204.0	524.0	436.5	517.0	432.0	456.0	455.75	603.0	617.0	237.0	401.5	528.5	617.25	221.0	540.0	901.0	1046.0	3211.75	1370.5	751.0	1072.0	738.0	2570.5	848.0	692.0	948.0	376.0	771.5	485.0	989.5	823.0	514.0	443.0	646.0	1106.0	1277.0	1244.0	945.0	108.0	605.0	701.0	522.0	906.0	804.25	791.0	1211.0	672.5	622.0	426.25	611.0	1638.75	334.0	230.25	899.0	382.0	371.0	997.0	795.25	673.0	708.25	499.0	235.0	1681.25	458.0
Lyases;Carbon-carbon lyases;Oxo-acid-lyases;citE, citrate lyase subunit beta / citryl-CoA lyase [EC:4.1.3.34]	https://www.genome.jp/dbget-bin/www_bget?K01644	K01644	51473.25	1118.0	373.0	293.0	860.0	388.25	204.0	524.0	436.5	517.0	432.0	456.0	455.75	603.0	617.0	237.0	401.5	528.5	617.25	221.0	540.0	901.0	1046.0	3211.75	1370.5	751.0	1072.0	738.0	2570.5	848.0	692.0	948.0	376.0	771.5	485.0	989.5	823.0	514.0	443.0	646.0	1106.0	1277.0	1244.0	945.0	108.0	605.0	701.0	522.0	906.0	804.25	791.0	1211.0	672.5	622.0	426.25	611.0	1638.75	334.0	230.25	899.0	382.0	371.0	997.0	795.25	673.0	708.25	499.0	235.0	1681.25	458.0
NA	https://www.genome.jp/dbget-bin/www_bget?K01646	K01646	43186.25	1023.0	274.0	235.0	772.0	355.25	149.0	377.0	373.5	451.0	349.0	329.0	346.75	438.0	470.0	182.0	329.5	437.5	518.25	169.0	502.0	877.0	665.0	3120.75	1322.5	588.0	947.0	571.0	2387.5	747.0	532.0	726.0	308.0	683.5	364.0	803.5	692.0	378.0	359.0	483.0	898.0	921.0	1009.0	836.0	90.0	456.0	529.0	423.0	598.0	610.25	651.0	985.0	576.5	464.0	325.25	537.0	1517.75	283.0	166.25	851.0	289.0	312.0	900.0	711.25	509.0	603.25	374.0	186.0	1597.25	342.0
Transferases;Acyltransferases;Acyl groups converted into alkyl groups on transfer;CS, gltA, citrate synthase [EC:2.3.3.1]	https://www.genome.jp/dbget-bin/www_bget?K01647	K01647	1553027.1800000002	13554.18	14293.9	13799.609999999999	18900.12	14135.18	16657.39	19964.949999999997	22463.26	27697.99	29690.070000000003	31150.280000000002	28300.7	17094.41	27535.820000000003	14693.32	20515.98	15301.94	29111.83	19392.84	18796.31	19555.26	23566.91	19559.35	12562.880000000001	26527.94	27680.910000000003	21265.699999999997	28237.33	20943.079999999998	21358.84	29336.41	16601.18	24805.15	13848.67	35254.15	26654.49	23082.92	28733.010000000002	19312.42	24446.969999999998	26125.420000000002	32176.120000000003	21420.78	5784.99	17639.129999999997	28390.01	28892.69	26413.530000000002	25917.739999999998	26628.459999999995	29010.08	24666.980000000003	25004.09	27739.309999999998	14952.4	29009.49	21887.95	21703.73	27004.69	14823.199999999999	14339.84	28456.309999999998	29255.809999999998	23274.59	23493.26	21907.140000000003	7351.5599999999995	30966.559999999998	22407.67
Transferases;Acyltransferases;Acyl groups converted into alkyl groups on transfer;leuA, IMS, 2-isopropylmalate synthase [EC:2.3.3.13]	https://www.genome.jp/dbget-bin/www_bget?K01649	K01649	1331227.4599999997	10048.76	13010.4	12381.279999999999	13226.949999999999	10272.35	13789.06	19339.449999999997	16881.510000000002	19788.33	22759.230000000003	21850.11	18787.7	14595.08	24481.66	12703.07	20140.81	14281.53	23039.660000000003	17588.68	13209.06	14230.43	19448.0	15575.27	10063.130000000001	20969.019999999997	22176.329999999998	20107.949999999997	26371.0	19975.5	20394.339999999997	25940.75	14364.35	23837.15	14772.84	29053.980000000003	22989.57	18381.92	25225.010000000002	18813.589999999997	21422.139999999996	26427.92	28234.7	17302.45	5577.24	17241.21	21545.92	22113.939999999995	23321.2	25669.57	25338.46	27285.0	21699.980000000003	22556.43	25006.809999999994	14121.57	25058.65	20232.37	17890.730000000003	18150.27	11354.12	13889.09	23856.469999999998	22782.969999999998	19193.68	22019.010000000002	21943.22	6893.389999999999	27949.469999999998	20284.67
Transferases;Transferring aldehyde or ketonic groups;Transketolases and transaldolases;E2.2.1.6L, ilvB, ilvG, ilvI, acetolactate synthase I/II/III large subunit [EC:2.2.1.6]	https://www.genome.jp/dbget-bin/www_bget?K01652	K01652	1508664.02	12182.02	15330.710000000001	13405.06	15329.91	12373.279999999999	14743.449999999999	21614.739999999998	18217.100000000002	21605.23	25318.550000000003	23891.720000000005	20652.9	16121.91	25526.06	14017.220000000001	21750.120000000003	15977.13	25541.570000000003	19161.18	16617.21	17795.27	21186.399999999998	20835.37	13259.09	23873.63	27994.99	22645.809999999998	31722.66	22195.33	22223.26	29065.399999999998	16698.28	29331.3	15941.59	33564.880000000005	24513.73	20626.260000000002	27957.77	21833.68	24962.529999999995	26909.589999999997	30353.570000000003	18893.309999999998	6414.9800000000005	19957.420000000002	23875.77	24425.139999999996	26869.31	29234.56	29878.84	30957.16	23886.54	24027.68	28255.209999999995	16589.300000000003	28696.06	22047.82	20035.96	22149.63	13894.65	15749.429999999998	27341.87	25135.62	21537.269999999997	25654.350000000002	25334.440000000002	8624.2	33164.369999999995	21165.67
Transferases;Transferring aldehyde or ketonic groups;Transketolases and transaldolases;E2.2.1.6S, ilvH, ilvN, acetolactate synthase I/III small subunit [EC:2.2.1.6]	https://www.genome.jp/dbget-bin/www_bget?K01653	K01653	1400937.8400000003	11029.09	14117.48	12426.529999999999	14077.869999999999	11404.35	14081.39	20215.870000000003	17540.840000000004	20663.239999999998	23926.980000000003	22550.190000000002	19712.2	14961.58	24166.57	13040.82	20251.89	14749.94	24404.74	17997.589999999997	15689.9	16703.510000000002	19723.41	18814.77	11966.96	21808.69	24992.659999999996	20928.28	28483.829999999998	20379.0	20747.59	26635.409999999996	15493.85	26457.4	14837.09	31032.480000000003	23168.49	19232.09	26502.84	19995.51	23231.059999999998	24693.42	28551.7	17592.28	5916.41	18324.79	22257.760000000002	23130.03	23990.28	27272.99	27455.21	28599.329999999998	22500.81	22776.59	26740.399999999998	15164.07	26755.820000000003	20904.62	19135.23	20127.19	12837.119999999999	14442.67	24712.06	23657.81	20293.51	23874.59	22970.97	7614.969999999999	31015.56	19485.67
Transferases;Transferring alkyl or aryl groups, other than methyl groups;Transferring alkyl or aryl groups, other than methyl groups (only sub-subclass identified to date);E2.5.1.56, neuB, N-acetylneuraminate synthase [EC:2.5.1.56]	https://www.genome.jp/dbget-bin/www_bget?K01654	K01654	25117.0	159.0	205.0	84.0	149.0	142.0	132.0	397.0	357.0	110.0	61.0	237.0	300.0	164.0	226.0	131.0	556.0	451.0	297.0	283.0	86.0	94.0	238.0	587.0	366.0	627.0	761.0	321.0	1001.0	1093.0	249.0	374.0	222.0	417.0	277.0	232.0	198.0	179.0	315.0	308.0	277.0	538.0	284.0	304.0	156.0	282.0	259.0	328.0	380.0	833.0	417.0	402.0	233.0	254.0	345.0	916.0	524.0	293.0	231.0	341.0	171.0	262.0	725.0	222.0	229.0	516.0	1648.0	156.0	953.0	252.0
Lyases;Carbon-carbon lyases;Oxo-acid-lyases;trpE, anthranilate synthase component I [EC:4.1.3.27]	https://www.genome.jp/dbget-bin/www_bget?K01657	K01657	806686.0600000003	5141.91	9584.25	7362.83	4492.0	4131.25	8719.16	13810.5	9656.66	9578.08	13902.08	9300.66	7599.0	8405.58	16099.91	7922.17	14830.66	10397.33	13222.91	11851.33	5520.01	6478.58	11816.5	9592.42	6017.08	8207.17	11796.58	10765.5	19105.0	12276.75	12293.09	13489.75	7755.75	15927.0	9405.59	17903.58	14697.67	8872.92	18055.91	13340.84	15114.59	14172.42	18510.25	7512.75	4280.59	12247.41	8127.67	9675.34	14838.25	19013.920000000002	17874.410000000003	20653.75	15826.08	13372.33	17714.76	8258.17	15925.75	13864.17	11693.83	4855.17	5365.17	7600.49	14438.92	13028.17	12434.83	17274.910000000003	16073.42	4936.24	20489.67	12186.67
Lyases;Carbon-carbon lyases;Oxo-acid-lyases;trpG, anthranilate synthase component II [EC:4.1.3.27]	https://www.genome.jp/dbget-bin/www_bget?K01658	K01658	820517.8300000002	5231.83	9570.92	6211.66	3807.5	4147.58	8826.66	13417.33	9378.41	9067.75	13988.5	9386.33	7271.75	7998.91	14742.08	7989.17	15393.33	10568.0	13386.33	12327.25	4944.59	6084.08	11030.17	9081.92	5780.0	9521.67	12267.25	12436.17	19188.17	12666.58	13176.26	15006.42	8585.58	17304.75	10571.59	17469.58	14346.67	9632.25	18085.58	13748.67	15412.92	12805.09	18023.92	8189.92	4193.42	12831.58	9365.5	10954.17	15130.42	19460.75	19140.740000000005	21254.42	16107.75	14146.5	18821.589999999997	8804.0	16521.75	14479.17	12159.16	5024.67	5762.0	8653.49	14554.25	13454.75	12321.33	17352.410000000003	16182.34	4681.41	20150.5	10938.67
Transferases;Acyltransferases;Acyl groups converted into alkyl groups on transfer;prpC, 2-methylcitrate synthase [EC:2.3.3.5]	https://www.genome.jp/dbget-bin/www_bget?K01659	K01659	2408.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	127.0	1.0	0.0	0.0	101.0	0.0	0.0	0.0	149.0	195.0	0.0	7.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	331.0	664.0	0.0	0.0	0.0	0.0	65.0	0.0	0.0	0.0	2.0	0.0	81.0	0.0	0.0	0.0	0.0	0.0	43.0	169.0	6.0	68.0	0.0	40.0	36.0	0.0	0.0	0.0	0.0	0.0	0.0	178.0	0.0	0.0	115.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0
Lyases;Carbon-carbon lyases;Oxo-acid-lyases;menB, naphthoate synthase [EC:4.1.3.36]	https://www.genome.jp/dbget-bin/www_bget?K01661	K01661	631820.9100000001	4236.41	8186.58	5536.67	1601.5	1475.67	7969.75	10653.67	7451.58	7221.75	12215.66	7979.66	6054.25	5922.17	12122.25	6179.0	12977.41	8356.0	10795.16	10842.75	1210.3400000000001	1291.75	8693.25	2854.42	1774.08	5126.25	6064.25	8313.08	15752.0	10090.67	10290.75	10489.75	5712.92	12343.0	8594.42	13924.83	13169.25	5601.67	15110.08	11016.09	13277.59	8575.5	16247.08	5737.75	3444.92	10111.91	5849.25	7292.34	11765.0	17511.5	14171.5	18252.0	14093.08	11901.25	14594.84	6185.42	13150.58	12797.42	9865.0	1962.0	3052.42	6308.33	12604.0	11763.75	10685.42	15441.83	13600.58	3245.66	14196.5	8935.75
Transferases;Transferring aldehyde or ketonic groups;Transketolases and transaldolases;dxs, 1-deoxy-D-xylulose-5-phosphate synthase [EC:2.2.1.7]	https://www.genome.jp/dbget-bin/www_bget?K01662	K01662	1614092.2100000004	13114.66	16792.67	13337.61	15954.58	12347.0	15344.89	24163.579999999998	18681.110000000004	22645.83	25310.63	27083.910000000003	19790.65	17002.61	29087.59	15805.14	24203.410000000003	17839.829999999998	27022.910000000003	19677.58	17429.46	18860.03	23353.170000000002	22745.519999999997	13730.83	26318.42	29652.36	26875.92	33222.9	23501.5	23546.01	29570.920000000002	17289.25	30248.25	17894.51	30617.08	24491.67	23752.82	30163.440000000002	24266.089999999997	26000.339999999997	28098.92	30401.0	23036.75	7361.51	22492.910000000003	23927.42	24501.069999999996	27720.0	30379.09	32736.49	32135.5	25437.980000000003	26373.530000000002	29879.259999999995	21122.840000000004	30963.7	23967.67	20198.980000000003	21945.87	15072.59	20186.320000000003	27237.67	25771.219999999998	23770.61	25920.160000000003	35865.49	10263.72	36114.92	22472.34
Transferases;Transferring nitrogenous groups;Transaminases;pabA, para-aminobenzoate synthetase component II [EC:2.6.1.85]	https://www.genome.jp/dbget-bin/www_bget?K01664	K01664	10881.23	93.33	239.57999999999998	79.67	152.5	124.17	16.25	194.92	409.0	143.07999999999998	86.33	53.33	327.0	51.42	48.33	19.0	244.32999999999998	293.83	265.08	74.83	144.17000000000002	193.75	50.33	441.75	224.57999999999998	43.0	254.58	84.58	564.0799999999999	770.17	65.33	72.58	143.67	138.0	82.25	106.0	26.0	26.92	87.83	55.92	126.67	135.07999999999998	60.33	28.33	36.42	36.33	77.42	238.67000000000002	96.58	218.17000000000002	103.92	126.33	291.58000000000004	35.58	156.17000000000002	30.67	166.5	64.25	69.67	657.75	119.92	40.0	265.92	110.42	111.0	198.5	118.83	63.08	562.67	43.0
Transferases;Transferring nitrogenous groups;Transaminases;pabB, para-aminobenzoate synthetase component I [EC:2.6.1.85]	https://www.genome.jp/dbget-bin/www_bget?K01665	K01665	640394.6600000001	3818.91	8022.83	4515.17	1684.5	1715.17	7867.5	10994.92	7290.58	7083.0	12071.91	7760.16	5627.5	6120.92	12505.75	6619.75	13779.41	8823.75	10168.16	10899.5	1236.8400000000001	1503.0	8791.5	2119.42	1384.33	6722.0	7039.25	9880.58	15046.75	10325.92	11012.75	11828.0	6495.92	12581.25	9209.67	13402.33	12524.0	6186.42	15117.58	11091.34	12215.59	9611.25	15379.33	6454.25	3436.92	10291.16	6812.25	8220.59	12525.25	16601.5	15426.75	17972.75	13972.83	12281.0	14963.34	6609.42	13086.08	12837.42	10251.0	2079.5	3491.92	7101.58	11779.25	11353.25	10502.17	14338.08	13640.58	3364.91	13636.75	9289.75
